word,orthographic_density,orthographic_density_neighbors,old20
dad,34,"day, bad, dead, mad, sad, da, dan, lad, dam, pad, dvd, dae, dd, dads, tad, das, dah, dat, dai, dal, dod, wad, dax, rad, dar, dada, dud, dab, fad, dag, dade, dao, cad, iad",1.0
mat,48,"eat, met, mad, cat, fat, max, mate, hat, meat, sat, map, rat, matt, bat, mac, math, pat, mae, kat, mal, mai, mam, nat, mart, mao, mit, dat, tat, mar, mak, mag, mast, mas, malt, vat, maw, wat, mats, mah, mata, moat, mau, maj, lat, mot, yat, gat, oat",1.0
sara,19,"sarah, tara, sama, kara, mara, hara, para, lara, sari, cara, saga, sora, sana, sera, dara, zara, sark, nara, ara",1.05
nora,16,"norm, nova, norma, cora, dora, fora, sora, bora, nola, ora, nona, norah, noa, tora, nara, zora",1.2
nami,11,"nazi, nam, naomi, ami, mami, sami, nai, kami, tami, nani, cami",1.45
kaki,11,"kai, kiki, kari, kali, maki, aki, kami, saki, kaji, khaki, taki",1.45
danoim,0,,2.7
jodi,8,"jedi, jody, jodie, joni, jordi, godi, judi, jovi",1.6
car,40,"care, war, bar, card, cat, cars, ear, carl, cab, cap, cart, scar, cam, jar, cal, par, tar, cary, mar, cara, cpr, carr, cao, dar, cor, carp, char, czar, har, oar, kar, cad, cai, caf, gar, cur, lar, cas, caro, carb",1.0
chair,7,"hair, chain, chairs, choir, chai, char, clair",1.65
bed,30,"bad, red, bet, ben, led, beg, ted, fed, bud, bend, bid, bee, ned, beds, med, bled, bea, bred, jed, bey, bel, bead, bev, abed, zed, ied, ged, bei, bod, bef",1.0
bad,38,"dad, bed, mad, bag, bar, sad, band, bay, bat, lad, bud, brad, bid, bald, pad, ban, bam, tad, bah, bao, bae, bai, bead, wad, rad, bak, fad, bard, bod, cad, baa, baz, bas, iad, bau, bal, bada, bade",1.0
nad,29,"bad, dad, mad, sad, nah, lad, nap, nam, ned, pad, nat, nod, tad, nag, wad, rad, naw, nab, nada, nav, nai, fad, nak, nao, nae, cad, iad, nas, nadu",1.0
kadomi,0,,2.75
boy,28,"body, boys, box, bob, joy, bay, bow, toy, roy, boo, boyd, bon, soy, bop, bey, bok, bom, bot, bog, oy, coy, bony, buoy, boa, bod, boyz, bly, hoy",1.0
called,4,"caller, calmed, callen, walled",1.8
remeber,2,"remember, rember",2.6
neighbor,2,"neighbors, neighbour",3.3
killers,1,killer,2.35
suggestions,1,suggestion,3.95
suggested,0,,3.5
sarcasm,0,,2.95
